watermark_method,project,language,seed_group,rng_seed,method_config,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
ewd,caro,cpp,,3627467929,caro_game_ewd_T=0.7_rngS=3627467929_gamma=0.5_hashKey=23873851_prefixLen=1,28,28,1,25,3,0,0,0,0.892857,2.312,2.1,1.3,3.4,2.1,0.892857,2.312,1
ewd,caro,cpp,,3627467929,caro_game_ewd_T=0.7_rngS=3627467929_gamma=0.5_hashKey=36728353_prefixLen=1,35,35,1,17,18,0,0,0,0.485714,1.688235,1.5,1.0,2.5,1.5,0.485714,1.688235,1
ewd,caro,cpp,,3627467929,caro_game_ewd_T=0.7_rngS=3627467929_gamma=0.5_hashKey=47646761_prefixLen=1,29,29,1,6,23,0,0,0,0.206897,0.583333,0.65,0.375,0.775,0.4,0.206897,0.583333,1
ewd,caro,cpp,,3627467929,caro_game_ewd_T=0.7_rngS=3627467929_gamma=0.5_hashKey=83782121_prefixLen=1,23,23,1,4,19,0,0,0,0.173913,0.45,0.45,0.375,0.525,0.15,0.173913,0.45,1
ewd,caro,java,,2285465881,caro_game_ewd_T=0.7_rngS=2285465881_gamma=0.5_hashKey=15485863_prefixLen=1,32,31,1,19,11,0,1,1,0.612903,1.642105,1.2,0.65,2.65,2.0,0.612903,1.642105,1
ewd,caro,java,,2285465881,caro_game_ewd_T=0.7_rngS=2285465881_gamma=0.5_hashKey=15485917_prefixLen=1,27,27,1,15,8,2,2,0,0.555556,1.793333,1.6,0.9,2.6,1.7,0.555556,1.793333,1
ewd,caro,java,,2285465881,caro_game_ewd_T=0.7_rngS=2285465881_gamma=0.5_hashKey=23873851_prefixLen=1,30,29,1,9,16,1,3,1,0.310345,1.133333,0.8,0.6,1.7,1.1,0.310345,1.133333,1
ewd,caro,java,,2285465881,caro_game_ewd_T=0.7_rngS=2285465881_gamma=0.5_hashKey=36728353_prefixLen=1,36,36,1,14,16,1,5,0,0.388889,2.592857,2.8,2.1,3.35,1.25,0.388889,2.592857,1
ewd,caro,java,,2285465881,caro_game_ewd_T=0.7_rngS=2285465881_gamma=0.5_hashKey=47646761_prefixLen=1,31,30,1,0,28,0,2,1,0.0,,,,,,0.0,,0
ewd,caro,java,,2285465881,caro_game_ewd_T=0.7_rngS=2285465881_gamma=0.5_hashKey=83782121_prefixLen=1,32,32,1,11,21,0,0,0,0.34375,1.827273,1.7,1.15,2.55,1.4,0.34375,1.827273,1
