watermark_method,project,language,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
ewd,tank_battle,java,221,221,6,7,211,3,0,0,0.031674,1.571429,1.7,1.3,1.85,0.55,0.030834,1.458333,3
ewd,tank_battle,python,197,197,6,58,2,109,28,0,0.294416,1.17069,0.8,0.4,1.675,1.275,0.305791,0.90682,6
stone,brick_breaker,cpp,143,143,6,13,130,0,0,0,0.090909,0.346154,0.2,0.1,0.3,0.2,0.094362,0.37,5
stone,brick_breaker,java,176,162,6,1,161,0,0,14,0.006173,0.2,0.2,0.2,0.2,0.0,0.007407,0.2,1
stone,brick_breaker,python,202,202,6,88,3,109,2,0,0.435644,1.421591,1.5,0.5,2.1,1.6,0.431636,1.404494,6
stone,caro,cpp,119,119,6,67,51,1,0,0,0.563025,1.898507,1.7,0.8,2.9,2.1,0.55099,1.490401,6
stone,caro,java,165,162,6,69,87,1,5,3,0.425926,1.868116,1.9,0.9,2.8,1.9,0.427898,1.895758,6
stone,caro,python,192,192,6,48,6,132,6,0,0.25,1.879167,1.8,0.875,2.85,1.975,0.246106,1.743578,6
stone,flappy_bird,cpp,108,108,6,8,100,0,0,0,0.074074,3.2625,3.3,2.825,3.65,0.825,0.063492,3.2625,1
stone,flappy_bird,java,193,193,6,22,159,8,4,0,0.11399,1.731818,1.5,0.575,2.45,1.875,0.121469,1.342143,5
stone,flappy_bird,python,218,205,6,10,0,195,0,13,0.04878,1.93,2.35,1.025,2.575,1.55,0.04698,1.506667,3
stone,snake,cpp,199,199,6,15,179,1,4,0,0.075377,1.84,1.5,0.3,3.3,3.0,0.077494,1.409375,4
stone,snake,java,200,200,6,25,164,5,6,0,0.125,2.04,2.1,0.8,3.0,2.2,0.123492,1.884722,6
stone,snake,python,220,220,6,49,4,165,2,0,0.222727,1.781633,1.3,0.6,3.0,2.4,0.224975,1.578214,6
stone,tank_battle,cpp,140,140,6,24,116,0,0,0,0.171429,0.970833,0.75,0.35,1.425,1.075,0.170985,0.624444,6
stone,tank_battle,java,214,214,6,5,207,2,0,0,0.023364,0.38,0.2,0.1,0.7,0.6,0.023304,0.3625,4
stone,tank_battle,python,187,184,6,93,2,74,15,3,0.505435,1.537634,1.3,0.6,2.4,1.8,0.505449,1.458558,6
sweet,brick_breaker,cpp,35,35,3,3,32,0,0,0,0.085714,0.3,0.3,0.25,0.35,0.1,0.090909,0.3,1
sweet,brick_breaker,java,58,58,3,3,55,0,0,0,0.051724,0.9,0.8,0.7,1.05,0.35,0.052795,1.0,2
