method,dataset,channel,n_attempted,n_paired,n_changed,n_syntax_valid,clean_BAR,clean_BAR_ci_low,clean_BAR_ci_high,attack_BAR,attack_BAR_ci_low,attack_BAR_ci_high,DeltaBAR,DeltaBAR_ci_low,DeltaBAR_ci_high,clean_MAR,clean_MAR_ci_low,clean_MAR_ci_high,attack_MAR,attack_MAR_ci_low,attack_MAR_ci_high,change_rate,syntax_valid_rate,paired_coverage,chance_BAR,chance_MAR
SrcMarker,CSN-JavaScript,block,3150,3130,3130,3130,0.9868210862619808,0.9839456869009585,0.9895367412140575,0.9871405750798722,0.9843450479233227,0.9897763578274761,-0.00031948881789134465,-0.0011182108626198084,0.0004792332268370607,0.9661341853035144,0.9597444089456869,0.9722044728434505,0.9664536741214057,0.9600638977635783,0.9725239616613418,0.9936507936507937,0.9936507936507937,0.9936507936507937,0.5,0.0625
SrcMarker,CSN-JavaScript,all,3150,3130,3130,3130,0.9868210862619808,0.9839456869009585,0.9895367412140575,0.465814696485623,0.45686900958466453,0.4747603833865815,0.5210063897763578,0.5116613418530351,0.5305111821086262,0.9661341853035144,0.9597444089456869,0.9722044728434505,0.050798722044728434,0.043450479233226834,0.05878594249201278,0.9936507936507937,0.9936507936507937,0.9936507936507937,0.5,0.0625
SrcMarker,CSN-Java,id,10535,10072,10072,10072,0.9734164019062749,0.9712569499602859,0.9755758538522638,0.5276260921366164,0.5224874652501985,0.5327392772041303,0.4457903097696585,0.440453733121525,0.4511517077045274,0.931989674344718,0.9270254169976172,0.9368546465448769,0.10127084988085783,0.0954130262112788,0.10712867355043686,0.9560512577123873,0.9560512577123873,0.9560512577123873,0.5,0.0625
SrcMarker,CSN-Java,expr,10535,10072,10072,10072,0.9734164019062749,0.9712569499602859,0.9755758538522638,0.9733915806195393,0.9712073073868149,0.9755510325655282,2.482128673553241e-05,-0.00014892772041302622,0.00019857029388403494,0.931989674344718,0.9270254169976172,0.9368546465448769,0.931989674344718,0.9270254169976172,0.9368546465448769,0.9560512577123873,0.9560512577123873,0.9560512577123873,0.5,0.0625
SrcMarker,CSN-Java,block,10535,10072,10072,10072,0.9734164019062749,0.9712569499602859,0.9755758538522638,0.9736149722001588,0.9714306989674345,0.9757496028594123,-0.00019857029388392622,-0.0005212470214455917,9.928514694201747e-05,0.931989674344718,0.9270254169976172,0.9368546465448769,0.9327839555202542,0.9278196981731534,0.937648927720413,0.9560512577123873,0.9560512577123873,0.9560512577123873,0.5,0.0625
SrcMarker,CSN-Java,all,10535,10072,10072,10072,0.9734164019062749,0.9712569499602859,0.9755758538522638,0.531299642573471,0.5262857426528992,0.5363638055996823,0.4421167593328039,0.4368546465448769,0.4473546713661636,0.931989674344718,0.9270254169976172,0.9368546465448769,0.10206513105639396,0.09610802223987291,0.10792295472597299,0.9560512577123873,0.9560512577123873,0.9560512577123873,0.5,0.0625
CodeMark,GitHub-C,id,459,447,447,447,0.9608501118568232,0.9491051454138703,0.9714765100671141,0.4507829977628635,0.4278523489932886,0.47371364653243847,0.5100671140939597,0.4848993288590604,0.535234899328859,0.883668903803132,0.8523489932885906,0.912751677852349,0.040268456375838924,0.02237136465324385,0.058165548098434,0.9738562091503268,0.9738562091503268,0.9738562091503268,0.5,0.0625
CodeMark,GitHub-C,expr,459,447,447,447,0.9608501118568232,0.9491051454138703,0.9714765100671141,0.95917225950783,0.9474272930648769,0.9697986577181208,0.001677852348993203,-0.0011185682326621924,0.0050335570469798654,0.883668903803132,0.8523489932885906,0.912751677852349,0.8791946308724832,0.8478747203579419,0.9082774049217002,0.9738562091503268,0.9738562091503268,0.9738562091503268,0.5,0.0625
CodeMark,GitHub-C,block,459,447,447,447,0.9608501118568232,0.9491051454138703,0.9714765100671141,0.9619686800894854,0.9502237136465325,0.9725950782997763,-0.0011185682326622093,-0.006152125279642058,0.0039149888143176735,0.883668903803132,0.8523489932885906,0.912751677852349,0.8881431767337807,0.8568232662192393,0.9172259507829977,0.9738562091503268,0.9738562091503268,0.9738562091503268,0.5,0.0625
CodeMark,GitHub-C,all,459,447,447,447,0.9608501118568232,0.9491051454138703,0.9714765100671141,0.44854586129753915,0.4261744966442953,0.470917225950783,0.5123042505592841,0.4865771812080537,0.5380313199105146,0.883668903803132,0.8523489932885906,0.912751677852349,0.03803131991051454,0.02237136465324385,0.05592841163310962,0.9738562091503268,0.9738562091503268,0.9738562091503268,0.5,0.0625
CodeMark,GitHub-Java,id,551,535,535,535,0.952803738317757,0.9397196261682244,0.9649649532710279,0.516822429906542,0.4957943925233645,0.5373831775700935,0.43598130841121496,0.41261682242990655,0.45981308411214955,0.8859813084112149,0.8579439252336448,0.9121495327102803,0.07102803738317758,0.05046728971962617,0.09345794392523364,0.9709618874773139,0.9709618874773139,0.9709618874773139,0.5,0.0625
CodeMark,GitHub-Java,expr,551,535,535,535,0.952803738317757,0.9397196261682244,0.9649649532710279,0.9532710280373832,0.9401869158878504,0.9654205607476636,-0.00046728971962617383,-0.0014018691588785046,0.0,0.8859813084112149,0.8579439252336448,0.9121495327102803,0.8878504672897196,0.8598130841121495,0.914018691588785,0.9709618874773139,0.9709618874773139,0.9709618874773139,0.5,0.0625
CodeMark,GitHub-Java,block,551,535,535,535,0.952803738317757,0.9397196261682244,0.9649649532710279,0.9551401869158879,0.9425233644859813,0.9672897196261683,-0.002336448598130869,-0.004672897196261682,-0.00046728971962616824,0.8859813084112149,0.8579439252336448,0.9121495327102803,0.8934579439252337,0.8672897196261682,0.9196261682242991,0.9709618874773139,0.9709618874773139,0.9709618874773139,0.5,0.0625
CodeMark,GitHub-Java,all,551,535,535,535,0.952803738317757,0.9397196261682244,0.9649649532710279,0.5322429906542057,0.5116822429906542,0.552803738317757,0.42056074766355134,0.39766355140186915,0.44345794392523363,0.8859813084112149,0.8579439252336448,0.9121495327102803,0.07102803738317758,0.05046728971962617,0.09345794392523364,0.9709618874773139,0.9709618874773139,0.9709618874773139,0.5,0.0625
CodeMark,CSN-JavaScript,id,3150,3130,3130,3130,0.9808306709265175,0.9774760383386581,0.9840255591054313,0.5,0.4911341853035144,0.5086261980830671,0.48083067092651754,0.4716453674121406,0.4904153354632588,0.9498402555910543,0.94185303514377,0.9571964856230031,0.060063897763578275,0.05175718849840256,0.06869009584664537,0.9936507936507937,0.9936507936507937,0.9936507936507937,0.5,0.0625
CodeMark,CSN-JavaScript,expr,3150,3130,3130,3130,0.9808306709265175,0.9774760383386581,0.9840255591054313,0.9808306709265175,0.9774760383386581,0.9840255591054313,0.0,-0.00039936102236421724,0.00039936102236421724,0.9498402555910543,0.94185303514377,0.9571964856230031,0.9501597444089457,0.9421725239616613,0.9578274760383386,0.9936507936507937,0.9936507936507937,0.9936507936507937,0.5,0.0625
CodeMark,CSN-JavaScript,block,3150,3130,3130,3130,0.9808306709265175,0.9774760383386581,0.9840255591054313,0.9804313099041534,0.9770766773162939,0.9836261980830671,0.00039936102236415305,-0.00039936102236421724,0.0011980830670926517,0.9498402555910543,0.94185303514377,0.9571964856230031,0.9485623003194888,0.9405750798722045,0.9562300319488818,0.9936507936507937,0.9936507936507937,0.9936507936507937,0.5,0.0625
CodeMark,CSN-JavaScript,all,3150,3130,3130,3130,0.9808306709265175,0.9774760383386581,0.9840255591054313,0.5008785942492012,0.49201078274760385,0.509664536741214,0.4799520766773163,0.4707647763578275,0.4895367412140575,0.9498402555910543,0.94185303514377,0.9571964856230031,0.0645367412140575,0.05623003194888179,0.07348242811501597,0.9936507936507937,0.9936507936507937,0.9936507936507937,0.5,0.0625
CodeMark,CSN-Java,id,10535,10070,10070,10070,0.9801390268123138,0.9785749751737836,0.9816782522343594,0.5443644488579941,0.539175148957299,0.5494792701092353,0.43577457795431973,0.43036246276067525,0.44123634558093344,0.9325719960278054,0.9277060575968222,0.9373386295928501,0.11360476663356504,0.10744786494538232,0.11976166832174777,0.9558614143331752,0.9558614143331752,0.9558614143331752,0.5,0.0625
CodeMark,CSN-Java,expr,10535,10070,10070,10070,0.9801390268123138,0.9785749751737836,0.9816782522343594,0.9801638530287984,0.9785998013902681,0.9817030784508441,-2.4826216484585828e-05,-0.00022343594836146972,0.0001737835153922542,0.9325719960278054,0.9277060575968222,0.9373386295928501,0.9326713008937438,0.9279046673286991,0.9374379344587885,0.9558614143331752,0.9558614143331752,0.9558614143331752,0.5,0.0625
CodeMark,CSN-Java,block,10535,10070,10070,10070,0.9801390268123138,0.9785749751737836,0.9816782522343594,0.9797914597815293,0.9782025819265144,0.9813555114200596,0.00034756703078453466,-9.930486593843098e-05,0.0008192651439920556,0.9325719960278054,0.9277060575968222,0.9373386295928501,0.9321747765640517,0.9273088381330685,0.9370407149950347,0.9558614143331752,0.9558614143331752,0.9558614143331752,0.5,0.0625
CodeMark,CSN-Java,all,10535,10070,10070,10070,0.9801390268123138,0.9785749751737836,0.9816782522343594,0.5417576961271102,0.5364945382323734,0.5468470705064549,0.4383813306852036,0.4329940417080437,0.4439175769612711,0.9325719960278054,0.9277060575968222,0.9373386295928501,0.10913604766633565,0.1030759682224429,0.11519364448857994,0.9558614143331752,0.9558614143331752,0.9558614143331752,0.5,0.0625
