paradigm,method,dataset_or_workload,sample_or_seed,repeat,input_or_prompt_tokens,generated_or_watermarked_tokens,extraction_reference_tokens,baseline_generated_tokens,input_internal_tokens,watermarked_internal_tokens,input_model_tokens,watermarked_model_tokens,input_truncated,watermarked_truncated,input_sha256,output_sha256,baseline_output_sha256,tokenizer_identifier,pair_order
semantic-preserving,CodeMark,csn_js,test#562,0,177,157,157,,167,165,167,165,False,False,4e5f2d2df35cefadfa8cb535cc2d55ea32d106310afce5bf7eebe955cc5cb49a,d2728bafa8c70a3a4203fed263f848a0502afa3f9d16ed6612c9471953f398f2,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#563,0,264,259,259,,307,307,307,307,False,False,9254f77599f2c7380cb48279e5933078380d17a8db8cadbf1ba58516d4aeb063,49ed85e733b191a0e7052daf5faa793c34f419a6da856f21a11f940830afd0a5,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#564,0,47,47,47,,53,56,53,56,False,False,822fb02b9cbf3d44c5d60ad5111a615fa9fcdc2153e882c2016524b433ff6d19,18f7b6867204d64714b90da9bcb19df831130451f135203dafeba7077bc4e765,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#565,0,119,116,116,,117,128,117,128,False,False,0c7b20605997b678e7f62a8dbad05a16aa5ac3bacf2b28b40f03944913bacb7a,dd06ba9be4b2808f60c1635680be950a8d0f3461e2c719ef536e6d17ee5d26a4,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#566,0,190,178,178,,205,207,205,207,False,False,570e75b89851129d504fad63a31a3c02d54a9b637156311fc3b249c31227e2bb,a6875705c796c8922ffd20d3b56ab027de71b9fd1b81fc1442c233c6c7be717e,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#567,0,124,115,115,,124,131,124,131,False,False,8ca30b49b74f5930e031e20475a407a4eea37ddeadc71067fbd7ac6a80aab28b,b0b514f4649062652b66efeb64261348d99bd4df4aa252b3cdd42bd19fedec08,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#568,0,245,231,231,,264,298,264,298,False,False,23beeafc707040ac9b8076b01d945aa00e40199767dbb03f1626af1bcec59958,210b7a40bfca667c56164146cb562f1f5da03dbaeb369846a9f1598a338bdc27,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#569,0,176,157,157,,159,181,159,181,False,False,d28e0c8bf4ca9fe2a66426e288491549c8c311074b035ee280f8cd86abee64c0,c0fc6d0bd562b82c5cf0846f572257127e05f4bc59d4293165e4043763451276,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#570,0,458,445,445,,482,569,482,512,False,True,dad66283457eca0c259622c515c941e1bf76ab088bf1550848676c9a17abeb2e,5f50df5ee9af5e6670cb08f1b9c367193527e1c6f03e65ababb59c4340ef9ee8,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#571,0,83,76,76,,85,97,85,97,False,False,6cefef12f76a972737043e556a343c21620c93cb285943ca0b719f3e7e0c3df1,50d2af1d7c5edf8d13bc5638d3817ab09c511f195344994849013318ac9b78b8,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#572,0,50,45,45,,47,49,47,49,False,False,4eb3fb04ff49dc9d324abc89f2eeb8c2fc369a4a72a5ce449b1162c7b00c3161,8c19c410e5158f7475d7f7071f959a343cfcfbde7a77b0c658770b767c922f56,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#573,0,52,52,52,,54,58,54,58,False,False,3f2b007da10155137338a23d70c0b51c365d0cd9f8f60e7ca47d23557873cd84,82f676c98af3421022d2f27447967fceb47ce4154fad66dc32dcef92252f7fec,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#574,0,70,63,63,,70,72,70,72,False,False,8ed4b9ad43ce39c6202123a8ff5bce713934911062b532d2cf97f0b34fc4eb88,d29cfa6716bcdc4c0472aec2f8248ef08cb254ee15369d280a4618b931a47cbb,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#575,0,48,47,47,,46,48,46,48,False,False,2fb92b41efca9af2db47fcc6755dc169a33c8d798251ce69e6a9897bcaf004c1,cef18de1ce9749f70c7e4d72a7655ce00cba093ef4ddb36059e40622e97f6837,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#576,0,40,39,39,,46,50,46,50,False,False,9bf578713f3e3023599e6d87c5a34cd1dfaecc39ca1d9c70d6e7b7d8ee6d9dc0,e3e446626aa0dd97c11000fa5dfab291a84cfaf16d7c5695966cd30362e6bb67,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#577,0,120,109,109,,122,124,122,124,False,False,615f62a997204b7bbc0c6ab08852f94a14989fd8af31bd1cc59ac0012c5d010d,e8283e51a528c755c35fe06e2e4da2b804952cd1c22ec743d246e2f08fb38cff,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#578,0,70,76,76,,80,85,80,85,False,False,1b01054ea38782d8fc56cee5cbbd1597d61ce33902463e30a5851954f7fabde8,b3e84d1295f8cd19855774eae0b4d9c7d326187e2d0334ff79ecc0a0a1dd82ef,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#579,0,438,363,363,,355,353,355,353,False,False,1613eb6317f0271afa7f583c423cb5b60d0c1abfc386bca7bf45d0b450b24c45,881064d1a412d620632eeaa1316f59338b5987079cf239d3eaa52f6515a13940,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#580,0,301,268,268,,276,282,276,282,False,False,740a6424457b45bac8d1166d153e2906280007f80260228702033bdaf1ce5666,5f4942272855a65fc893daf4a58e794508e7c937d47cdb9ae7f746ac518ca2f6,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#581,0,199,211,211,,206,206,206,206,False,False,45b726768d446ba9e0c59661e98a49b978315d02957fa60fe522dd67c6d2f638,1347fce9fd19c89c8c3511b9e452d1f7ecbafc01ee90a7b18c21dd4704ba987a,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#582,0,28,31,31,,35,41,35,41,False,False,7ce977aaab2df008c91ee255e1d4de6883cec3e0e633f67c7969eb7aadeb831b,a7371ed5b490336dafc97d4dc40f5afccedc5189ee2b3ec567a2adc80847171e,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#583,0,61,66,66,,65,71,65,71,False,False,f80f86fb914bc86424ef54b8241f9621f6c5f013856a74326d1f48c7ca5e646c,285d1de83b85ad5a10862ff2d42ecee5aede57d91e14fa56970f27c8696bf41e,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#584,0,29,40,40,,34,42,34,42,False,False,77dc0b4479b470847e735df9119ab20f85abb31d37fe71c10d2468f43b31e798,099d90528d4dac0bb8b981c1e098ea5eeba62311eb0a621f52b30532e976d20d,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#585,0,243,222,222,,277,275,277,275,False,False,ebcbbd1559f2869d5ce2b4a5972a7f35c7c7f58d76310da3f11e885b02fff296,5dd6cb613ceb6a06c0b53b2a06cf0a7aaba880edb8e64d22abf465c9fb8843c5,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#586,0,243,261,261,,265,326,265,326,False,False,d8b8c666a47212fcc410b9b42f5901f391639cf57a04aa709781486c27755c07,089be86e2600148f87f6acd9cfa912f0bc2cdeca792307ad97f8792dba0a38e6,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#587,0,58,60,60,,71,75,71,75,False,False,ad1d5d1ab98cbd96155de521e3b76ec9136b670de4b1d8d0f24713975e5fde26,f541015669adcf72d7b980bb3f890c8a59cef32034cbb148303c163fcb408cfc,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#588,0,112,112,112,,107,119,107,119,False,False,7a7fcd4377f35b50a11845a65eba67d0d1226bf52494e1dde83f50246b7ad5a8,f7778c12a9584922500efde4f7bd243d4138621197dc7d5d7c32fd03679c518d,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#589,0,164,177,177,,170,217,170,217,False,False,6cfd61c833520c29424495aac567f6f04c8f52467b4eb3963bf8f94efdc3a00b,5e72295ca27416df4ed13f540ab6cb2eaf7e309e3c16a740982dd5af30d1da4e,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#590,0,32,32,32,,37,41,37,41,False,False,e97ff0084c9c51a217179a87b8e8fc414d688545c56737588a968d641e781284,bed0681205117bb6e60d49dbf5532688d3708d9445635026f96625e4371f35a9,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
