paradigm,method,dataset_or_workload,sample_or_seed,repeat,embedding_seconds,baseline_generation_seconds,watermarked_generation_seconds,paired_generation_delta_seconds,extraction_seconds,embedding_reference_tokens,extraction_reference_tokens,embedding_ms_per_1k_tokens,baseline_generation_ms_per_1k_tokens,watermarked_generation_ms_per_1k_tokens,paired_generation_delta_ms_per_1k_tokens,extraction_ms_per_1k_tokens
semantic-preserving,SrcMarker,csn_js,test#2463,0,0.010218486190,,,,0.005894748494,107,107,95.499870933,,,,55.091107421
semantic-preserving,SrcMarker,csn_js,test#2464,0,0.011328706518,,,,0.005906289443,107,101,105.875761849,,,,58.478113301
semantic-preserving,SrcMarker,csn_js,test#2465,0,0.016127348877,,,,0.011314225383,186,198,86.706176761,,,,57.142552440
semantic-preserving,SrcMarker,csn_js,test#2466,0,0.009275509045,,,,0.005725796334,118,119,78.606008852,,,,48.115935584
semantic-preserving,SrcMarker,csn_js,test#2467,0,0.005398378707,,,,0.003011350520,43,46,125.543690871,,,,65.464141738
semantic-preserving,SrcMarker,csn_js,test#2468,0,0.005394713953,,,,0.002708541229,43,40,125.458464026,,,,67.713530734
semantic-preserving,SrcMarker,csn_js,test#2469,0,0.028010142967,,,,0.016721927561,324,325,86.451058540,,,,51.452084803
semantic-preserving,SrcMarker,csn_js,test#2470,0,0.015445608646,,,,0.008511318825,154,146,100.296160037,,,,58.296704282
semantic-preserving,SrcMarker,csn_js,test#2471,0,0.006949547678,,,,0.004300962202,63,66,110.310280607,,,,65.166093973
semantic-preserving,SrcMarker,csn_js,test#2472,0,0.007582197897,,,,0.004469031468,88,86,86.161339740,,,,51.965482186
semantic-preserving,SrcMarker,csn_js,test#2473,0,0.035543489270,,,,0.022454344667,444,495,80.052903761,,,,45.362312460
semantic-preserving,SrcMarker,csn_js,test#2474,0,0.015620880760,,,,0.011603999883,188,191,83.089791278,,,,60.753926089
semantic-preserving,SrcMarker,csn_js,test#2475,0,0.009296229109,,,,0.006529209204,93,114,99.959452787,,,,57.273764948
semantic-preserving,SrcMarker,csn_js,test#2476,0,0.005349015817,,,,0.003647650592,45,56,118.867018157,,,,65.136617715
